vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,F17,2.1385e-18,1.1444e-17,3.2627e-17,1.0066e-18,1.8425e-18,1.4285e-18,5.603900000000001e-19,8.0229e-19,1.0503e-18
300,0,F18,3.5775000000000003e-19,2.194e-18,6.9359e-18,1.6355000000000001e-19,3.2203000000000004e-19,2.9082000000000003e-19,1.0590000000000001e-19,1.6220000000000002e-19,2.2036000000000003e-19
300,0,F19,2.0126e-06,2.1976e-06,2.7652e-06,4.4922e-06,4.9407e-06,1.0059e-05,1.9714e-05,1.1362e-05,1.2828e-05
300,0,F20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ne20,0.0087896,0.010079,0.013525,0.017592,0.021201,0.029432,0.048174,0.069296,0.11205
300,0,Ne21,6.7718e-05,7.2309e-05,9.8809e-05,0.00010381,0.00010989,0.00012292,0.00011883,0.00013989,0.00017148
300,0,Ne22,0.00087575,0.0013773,0.0040026,0.010862,0.013791,0.027343,0.048417,0.050904,0.056528
300,0,Ne23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Na21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Na22,8.1505e-19,3.7956e-18,7.6917e-18,1.8343e-18,4.9922e-18,9.5174e-18,5.2263e-18,9.4045e-18,1.4241e-17
300,0,Na23,0.00078425,0.0010806,0.0015867,0.0020116,0.0027148,0.0039774,0.0074713,0.01114,0.018684
300,0,Na24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Mg23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Mg24,0.0042479,0.0048727,0.0065657,0.0086228,0.010444,0.014551,0.024094,0.034767,0.056346
300,0,Mg25,0.00036077,0.00040565,0.00046711,0.00047029,0.00046592,0.00055361,0.00066713,0.00080204,0.00098642
